,0,1,2,3
0,1.0,0.5559597,0.4687032,0.31973988
1,0.5559597,1.0000001,0.15003982,0.5587479
2,0.4687032,0.15003982,1.0000002,0.5102854
3,0.31973988,0.5587479,0.5102854,1.0
