,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0.0,0.19117904,0.20526235,0.18779388,0.3221964,0.31834644,0.3608917,0.20047772,0.38141984,0.30575547,0.39173993,0.27084666,0.30490935,0.3601873,0.4212115,0.2719563,0.27605268,0.3503278,0.1585244,0.26098126,0.24294077,0.5352558,0.29297638,0.24387908,0.20972933,0.6901994,0.41566873,0.27928722,0.17277654,0.6740869,0.24212725,0.22932422,0.38481137,0.43432167,0.22806959,0.41055992,0.27633423,0.24374583,0.36343116,0.33055526,0.26267374,0.35887307,0.2525929,0.24106571,0.2803181,0.39268792,0.32430702,0.16328901,0.36878783,0.18423736,0.24704981,0.21944344,0.55568594,0.36119515,0.6368046,0.31024808,0.32861313,0.27111232,0.56311464,0.2966919,0.4294251,0.29344928,0.27395284,0.3185248,0.26783362,0.41438413,0.6107552,0.4001767,0.30438173,0.5042283,0.38983992,0.62088215,0.3071031,0.21160434,0.65359634,0.40114304,0.24074185,0.32370472,0.19727314,0.3700815,0.32638955,0.31732476,0.37433815,0.31887996,0.28242594,0.3857203,0.3576153,0.30861408,0.52513456,0.32883132,0.31817406,0.3193031,0.24461946,0.3213637,0.2883643,0.3055995,0.2930526,0.307354,0.2127622,0.2316581,0.31571722,0.72182715,0.5781001,0.64938295,0.29394552,0.380956,0.2905528,0.3545826,0.34512633,0.24823493,0.32938474,0.25194064,0.1485979,0.58409166,0.26148772,0.36423543,0.26155603,0.32558417,0.3236038,0.27397233,0.22296599,0.28889757,0.36225086,0.21352278,0.35441425,0.3333643,0.1948109,0.48896337,0.3497009,0.5465747,0.2238946,0.2343719,0.3388238,0.27705395,0.584837,0.19163457,0.24193487,0.2892261,0.5306479,0.28355053,0.3889457,0.2639241,0.24844679,0.23260385,0.17663848,0.39692605,0.25294274,0.2162363,0.51228267,0.23671556,0.48522305,0.5973422,0.3319255,0.565961,0.2750567,0.24790114,0.1998412,0.4159652,0.33101782,0.3087598,0.43023297,0.34593952,0.15941365,0.19692054,0.334298,0.44477433,0.3780434,0.40748477,0.26007682,0.25616252,0.39397177,0.29174358,0.21140057,0.24120139,0.31545272,0.445194,0.33789176,0.25525597,0.25211573,0.5748646,0.3093096,0.27185816,0.20806926,0.38728616,0.33515143,0.21436681,0.26878765,0.29478788,0.31573483,0.37468687,0.43714434,0.33368155,0.39667046,0.211688,0.29953367,0.31277445,0.2072859,0.18695337,0.30536506,0.261584
1,0.19117904,0.0,0.16256997,0.23021665,0.2801239,0.3350757,0.2748784,0.2908953,0.19144586,0.043429837,0.1908051,0.31777576,0.16139102,0.38148767,0.272566,0.21841083,0.15812388,0.23920593,0.31849906,0.3119539,0.19956005,0.38271236,0.19111766,0.20191965,0.018527828,0.18330091,0.31175405,0.17358164,0.095531836,0.2234804,0.19874497,0.13947362,0.3743465,0.2600609,0.21883777,0.33354595,0.24854761,0.14442387,0.19543336,0.31300357,0.13846365,0.14139307,0.47769892,0.25673145,0.37324607,0.34260407,0.30514067,0.15496868,0.13115862,0.3051061,0.16150278,0.121603236,0.13896334,0.15050635,0.20914033,0.21281439,0.15582749,0.16616184,0.2498129,0.34349638,0.25897735,0.34068516,0.16017866,0.30063757,0.17657194,0.28267208,0.27767783,0.3616383,0.27571774,0.22403145,0.2524705,0.18833038,0.2685287,0.2311072,0.19231609,0.21419612,0.22238123,0.3591327,0.25119537,0.2934544,0.23972139,0.13001625,0.23727806,0.27517653,0.13903664,0.26111853,0.31115073,0.3165921,0.30911118,0.35047552,0.21365634,0.41964054,0.12530062,0.13455993,0.26027825,0.29308122,0.2797861,0.39207804,0.2880839,0.13048485,0.16394196,0.24150035,0.27437443,0.34108284,0.23508383,0.28170747,0.3985213,0.11441025,0.26226148,0.37815022,0.2515708,0.1608237,0.09774251,0.18326119,0.15718724,0.2677705,0.31523466,0.22748727,0.18323967,0.18255302,0.16313636,0.27057284,0.17890257,0.24307178,0.07791193,0.29513007,0.06970681,0.3208289,0.2581362,0.27313572,0.22255722,0.24770994,0.2799549,0.26233938,0.11881758,0.2131395,0.35900408,0.1651574,0.33179966,0.1682382,0.265736,0.17537278,0.15591708,0.31298825,0.16022936,0.23771906,0.1678362,0.15290277,0.16465092,0.22478634,0.33146966,0.26514453,0.1973906,0.13771725,0.2451558,0.12174773,0.22677547,0.15690874,0.2614263,0.13478732,0.196726,0.21130054,0.10016355,0.07565655,0.3824067,0.26947173,0.49350762,0.23916262,0.062120713,0.08377297,0.22971976,0.21274441,0.11966698,0.108695015,0.35286555,0.43079576,0.2658586,0.23084736,0.2847329,0.17109361,0.31699637,0.3946575,0.18988806,0.2226386,0.4776588,0.16339335,0.07370483,0.2611318,0.33961853,0.3157619,0.31062347,0.44821244,0.3264133,0.14608535,0.32251525,0.22232449,0.13846962,0.15359548,0.1371301,0.29483432
2,0.20526235,0.16256997,0.0,0.19957754,0.26402086,0.26748413,0.27885658,0.17314723,0.34899673,0.29891896,0.26998144,0.34358972,0.28967687,0.28868622,0.40848154,0.4482296,0.39958382,0.37856492,0.03916162,0.2713221,0.58649385,0.2880429,0.45060998,0.42742372,0.25504375,0.22794577,0.33065355,0.40498507,0.39559108,0.27447265,0.38436365,0.40524727,0.22156462,0.20671889,0.3103109,0.33246037,0.45799887,0.36098352,0.32159245,0.34737265,0.19423267,0.29002905,0.24456738,0.35290515,0.3961584,0.22897527,0.35945424,0.2548063,0.06453033,0.07302335,0.4578805,0.21197519,0.17172042,0.29127067,0.17978294,0.38713816,0.46156484,0.31400555,0.24894404,0.30004224,0.35965645,0.3222255,0.41983235,0.2945535,0.30551347,0.2019497,0.3147081,0.37230775,0.4454706,0.17003918,0.1514605,0.24875148,0.32699096,0.290276,0.24536905,0.30244797,0.33947694,0.23005813,0.37572864,0.36236984,0.36221248,0.32212582,0.3733591,0.31977767,0.15017661,0.26433167,0.21860112,0.2049967,0.30064124,0.30234408,0.43832803,0.27157968,0.37500507,0.16750664,0.41042638,0.3568204,0.28392565,0.23558912,0.11255959,0.28407264,0.3913967,0.18705824,0.25765318,0.19170088,0.3448428,0.19275019,0.26207465,0.2375009,0.20939435,0.28261396,0.21885416,0.3063171,0.26357445,0.2623681,0.37946177,0.25220305,0.38377485,0.40164995,0.36499843,0.43945342,0.42561215,0.3600638,0.36497283,0.0594062,0.24975999,0.31814307,0.20256796,0.20175987,0.41761243,0.25387016,0.42486715,0.28790933,0.20551407,0.37519714,0.19473496,0.37893558,0.103949666,0.34416822,0.18523675,0.34097016,0.46481055,0.40363088,0.36436027,0.15970165,0.38160756,0.42402458,0.44978344,0.4336315,0.24765548,0.31787157,0.22915694,0.24758458,0.33883905,0.17385717,0.43348485,0.3919284,0.32309312,0.3272388,0.37992698,0.42226034,0.3038963,0.40724745,0.3550134,0.12266053,0.32263252,0.227079,0.3910994,0.23729853,0.4424491,0.31971565,0.26943964,0.38591027,0.34463036,0.38729,0.32320952,0.19021213,0.26881853,0.3099469,0.33883357,0.29279286,0.41967392,0.3319225,0.41958296,0.22575063,0.34524322,0.40864497,0.22348508,0.28335428,0.22568318,0.15713936,0.20091078,0.42238122,0.40392035,0.2952904,0.2296497,0.33760592,0.027276795,0.40889293,0.3847853,0.4522999
3,0.18779388,0.23021665,0.19957754,0.0,0.2495229,0.26689246,0.3321892,0.15593237,0.19524103,0.2337528,0.23707323,0.27291813,0.22550586,0.30312032,0.28135225,0.22105348,0.14953834,0.17163253,0.2292496,0.15011358,0.27888787,0.23038676,0.13632613,0.15020487,0.08226864,0.18538809,0.30491936,0.13653794,0.12134315,0.31707883,0.32131594,0.1160948,0.25341558,0.24724801,0.21312384,0.2884289,0.19990766,0.22056258,0.3191439,0.35598338,0.14541015,0.22251385,0.2032687,0.17953873,0.2783254,0.22381198,0.3821048,0.08406352,0.26357198,0.36018848,0.14906538,0.19650766,0.21059656,0.26568964,0.262029,0.20106909,0.1821373,0.20681244,0.24851078,0.30650795,0.26119035,0.24445389,0.2115632,0.27379358,0.19075078,0.36996585,0.27729535,0.32035035,0.20219688,0.22683421,0.22837882,0.20870553,0.21573092,0.20850462,0.3171383,0.33935648,0.20154643,0.23782524,0.09029098,0.283886,0.25553572,0.2799717,0.24229524,0.31280914,0.13323018,0.28527987,0.2187728,0.34313348,0.31943762,0.2431094,0.2174447,0.22595748,0.08070293,0.12918028,0.22318028,0.3424921,0.24118292,0.2292848,0.25972146,0.13202792,0.18729651,0.20989822,0.26488912,0.264193,0.2569975,0.2693935,0.25486523,0.20016687,0.34361464,0.24756116,0.29522815,0.19908169,0.15090856,0.34190953,0.15498435,0.26588148,0.26930022,0.27631748,0.1338095,0.18723364,0.15518679,0.27603722,0.23156762,0.26211864,0.1816355,0.2475867,0.055248983,0.20974737,0.5005573,0.18041986,0.15071644,0.16860943,0.14137915,0.27002966,0.14931452,0.18998343,0.2690636,0.19055128,0.15198393,0.17220879,0.21326947,0.16295362,0.20612817,0.36070293,0.0807299,0.26815426,0.1452192,0.12416883,0.16201127,0.20484154,0.26998997,0.28986615,0.25921077,0.20325476,0.18380824,0.15554023,0.1817009,0.22027531,0.1537093,0.15944716,0.24160576,0.19519189,0.21388265,0.14198151,0.2565261,0.15554948,0.2632985,0.26098692,0.1221516,0.14940482,0.30888075,0.13041931,0.14913607,0.18901128,0.1946711,0.15117472,0.24097446,0.28196764,0.24543443,0.29798788,0.3226848,0.28801012,0.12663291,0.251445,0.2541382,0.07100394,0.17113262,0.31816924,0.3098784,0.2387987,0.2591188,0.34124237,0.28148562,0.07657728,0.24542862,0.33570868,0.2743457,0.17193052,0.15297116,0.29542953
4,0.3221964,0.2801239,0.26402086,0.2495229,0.0,0.69069064,0.5146712,0.29834813,0.34624022,0.23724934,0.33522964,0.36991346,0.32248086,0.3719448,0.39255264,0.34252274,0.21983323,0.33842662,0.22022466,0.5884122,0.25290564,0.3875215,0.2265694,0.21932837,0.19481283,0.42092997,0.6325152,0.30433673,0.19077915,0.4169401,0.39779112,0.25211966,0.4075183,0.3285816,0.39571047,0.33761925,0.23877186,0.371474,0.38643962,0.39312392,0.25276428,0.3804456,0.50468075,0.36213017,0.40934604,0.4646365,0.3208484,0.2028268,0.29883662,0.2816324,0.20041762,0.26199424,0.3699417,0.3551774,0.48326418,0.31470215,0.30505967,0.43610132,0.421422,0.44809884,0.3437038,0.34496325,0.26915568,0.36898413,0.4949125,0.38931236,0.4285685,0.39349622,0.278359,0.35837847,0.2586485,0.42948875,0.37987107,0.23367646,0.40428096,0.45396096,0.3782164,0.269136,0.14388403,0.4707417,0.39795268,0.3062861,0.46433663,0.45149273,0.28424326,0.3295082,0.29965267,0.27060753,0.4175659,0.5571153,0.3698337,0.6451137,0.17867634,0.30228359,0.27541515,0.5102216,0.60266864,0.5393945,0.23997995,0.2909408,0.23245932,0.41606686,0.46894705,0.41657203,0.41416198,0.3829987,0.5782902,0.2890197,0.31125206,0.3923122,0.27645358,0.4949742,0.22269395,0.413185,0.50147635,0.37541682,0.36717394,0.40345412,0.27991188,0.29072088,0.22819968,0.44438472,0.2862967,0.2920454,0.21280575,0.41801256,0.18588784,0.32962525,0.44154674,0.42794913,0.23480314,0.34412843,0.38694137,0.4255247,0.41103515,0.22695105,0.2596477,0.3840617,0.36201444,0.38298914,0.29767245,0.20858726,0.34330714,0.3073618,0.1949034,0.44683924,0.17133367,0.18264993,0.3019759,0.28323627,0.4525504,0.4335032,0.2760265,0.38987896,0.3048067,0.26016265,0.34371096,0.35053325,0.35876408,0.1963908,0.32055014,0.29122186,0.32287934,0.16312537,0.27669913,0.367917,0.41681308,0.36535034,0.18122485,0.19820729,0.36347997,0.35260192,0.1458914,0.2163897,0.4822681,0.29767546,0.31831267,0.4503731,0.3634435,0.41880593,0.5013677,0.4283856,0.17933795,0.33475703,0.3838534,0.19270736,0.18846114,0.6071836,0.31652367,0.3555969,0.462032,0.47132462,0.406797,0.2884639,0.72173584,0.4843101,0.22603108,0.18255198,0.3120639,0.39946508
5,0.31834644,0.3350757,0.26748413,0.26689246,0.69069064,0.0,0.49152958,0.43284422,0.31570655,0.24064997,0.3259619,0.4353779,0.33140844,0.42462614,0.412138,0.30254906,0.23665527,0.36525112,0.23863871,0.66941905,0.3138327,0.36452422,0.21296403,0.24937804,0.13617332,0.3829723,0.7257872,0.29966766,0.16048086,0.41749966,0.3618099,0.23823512,0.40557122,0.36493582,0.3490509,0.40004647,0.25778067,0.32261854,0.38613892,0.48108828,0.20047444,0.37905946,0.63138354,0.36157268,0.4635626,0.4933308,0.36071825,0.23782265,0.2677388,0.39918378,0.2151107,0.20301244,0.30873892,0.39780515,0.4283164,0.3336795,0.300026,0.47587425,0.425259,0.4718334,0.4456941,0.38726866,0.25316685,0.532076,0.539251,0.4227859,0.4330824,0.38325644,0.29145557,0.37758768,0.32395077,0.3792844,0.56443304,0.26438722,0.42537877,0.473008,0.3840509,0.34399772,0.21927413,0.54508483,0.45302853,0.29857194,0.4687104,0.48415494,0.27833462,0.36753005,0.41947153,0.35494357,0.44322503,0.5737884,0.3784824,0.7770932,0.21091127,0.32070094,0.33418357,0.47207844,0.6629127,0.6216324,0.32854736,0.23618442,0.29836032,0.40633905,0.50299835,0.4325018,0.5220969,0.45670283,0.662213,0.27733785,0.35204485,0.4073316,0.32210237,0.57681155,0.16983208,0.3539102,0.54672027,0.45562392,0.45641026,0.41181257,0.23703954,0.30356246,0.23109856,0.44868782,0.34049237,0.2789092,0.24331042,0.47005126,0.2096241,0.41748023,0.45861393,0.48134565,0.2757839,0.4907996,0.4696521,0.45870233,0.32824206,0.22029135,0.40155345,0.394579,0.35205084,0.35393593,0.31136775,0.24514265,0.32767928,0.37656754,0.2355865,0.46505964,0.21572351,0.18456286,0.2835943,0.29203326,0.5162585,0.45137787,0.30995184,0.3501509,0.27732193,0.23915239,0.31073302,0.30896273,0.37532288,0.24725452,0.3330397,0.3347857,0.2609541,0.20385894,0.30033782,0.339988,0.4701881,0.3912874,0.19593824,0.18395957,0.38299486,0.3302865,0.21490407,0.18754667,0.5335473,0.33476785,0.348059,0.46524844,0.4683526,0.38581747,0.5612558,0.45458812,0.18917379,0.3552332,0.46377784,0.18512493,0.19252884,0.5942301,0.40144634,0.44013107,0.41845018,0.55599475,0.4778556,0.37006518,0.7461077,0.49398467,0.2834099,0.23706739,0.28854176,0.40652424
6,0.3608917,0.2748784,0.27885658,0.3321892,0.5146712,0.49152958,0.0,0.29325908,0.34989873,0.23242761,0.4700787,0.4337166,0.522756,0.4124562,0.45339686,0.30130908,0.33045447,0.36110193,0.31296566,0.41097698,0.43363968,0.38915312,0.27407524,0.29210037,0.27262074,0.4449805,0.5080447,0.36349732,0.33450046,0.46349922,0.39208525,0.26796228,0.3662762,0.60009825,0.39611286,0.45497084,0.3271018,0.4032153,0.34349844,0.43647566,0.37117547,0.51257765,0.38537765,0.41155493,0.39969853,0.4909632,0.46706533,0.17019182,0.4301317,0.3041544,0.25139636,0.4950823,0.47031674,0.31658855,0.37321496,0.3454657,0.39270133,0.38515484,0.44708073,0.4087088,0.43607807,0.32143074,0.37930176,0.36296752,0.4176588,0.538451,0.51586884,0.43490493,0.3186974,0.36258855,0.28154588,0.38787824,0.40092105,0.21059278,0.4337367,0.43295765,0.38718963,0.44245094,0.20300008,0.44603002,0.4171205,0.5619603,0.5983362,0.4330946,0.4753409,0.40952855,0.41440883,0.45648164,0.56761986,0.40049136,0.31901735,0.4609444,0.21293691,0.46037346,0.35161787,0.47677493,0.41210848,0.38205856,0.3770222,0.30812213,0.30479193,0.43487412,0.42375392,0.41111282,0.4370002,0.5277877,0.4087971,0.2332328,0.51602364,0.350519,0.35498065,0.32203412,0.266257,0.42601353,0.31849915,0.5965948,0.3809654,0.40669084,0.35470915,0.32455018,0.34060985,0.42928177,0.35508606,0.21247324,0.44154283,0.381373,0.18763247,0.3202896,0.44317216,0.404606,0.3216629,0.29912797,0.45724642,0.41610554,0.32956338,0.32108733,0.24487585,0.41928396,0.31267762,0.33505017,0.3479849,0.22275457,0.26721415,0.3927716,0.2525555,0.49188036,0.21650657,0.24190098,0.2907713,0.49275583,0.5266939,0.46215403,0.36943173,0.42908323,0.25355625,0.32024133,0.31884792,0.49222702,0.37649542,0.3502823,0.44318444,0.38760477,0.29855824,0.31066838,0.28579792,0.38346383,0.39874828,0.5039564,0.24902141,0.27958784,0.47929418,0.38815224,0.23523465,0.26701757,0.42531165,0.40827972,0.40214607,0.43652445,0.30340368,0.3980888,0.43707582,0.4495552,0.2198833,0.5630256,0.37161654,0.27845198,0.19515146,0.47881308,0.36406377,0.45067617,0.52350146,0.46521485,0.43125665,0.26898912,0.507787,0.5094365,0.3726719,0.26995277,0.3865795,0.36498293
7,0.20047772,0.2908953,0.17314723,0.15593237,0.29834813,0.43284422,0.29325908,0.0,0.19752511,0.18242744,0.22399226,0.41794693,0.2376259,0.28388762,0.3008604,0.24396336,0.19752526,0.26091015,0.19774309,0.3926586,0.24608816,0.22979376,0.17565829,0.2982595,0.06481671,0.21871838,0.36087015,0.2766642,0.13868985,0.2605644,0.23634571,0.22335127,0.31905812,0.33959848,0.25050235,0.32317722,0.16652986,0.3454656,0.19980696,0.3309372,0.1729044,0.22003224,0.23701042,0.2611125,0.32450855,0.36532944,0.26940942,0.2935623,0.17238659,0.33228058,0.15156862,0.1913372,0.2409594,0.26162365,0.2969672,0.23054168,0.2101556,0.3376023,0.3011026,0.37167785,0.3054728,0.3629746,0.14723407,0.3431432,0.37531325,0.28512737,0.29078704,0.24244341,0.20361418,0.37149984,0.30626172,0.3044322,0.39293987,0.19062772,0.26323658,0.34713155,0.3480808,0.23606426,0.12332324,0.3975971,0.3803246,0.18120065,0.31347817,0.35455805,0.28087646,0.2910402,0.26067156,0.35995477,0.3070366,0.25998482,0.22956753,0.41061905,0.1533531,0.29979745,0.3488647,0.2975436,0.413332,0.44638193,0.4203046,0.18925413,0.2668309,0.29514098,0.26469195,0.28424937,0.4024362,0.3367343,0.38445753,0.24795464,0.3067745,0.28967392,0.42201048,0.36657625,0.13010484,0.22673485,0.2805999,0.40019655,0.30687296,0.24728987,0.1645715,0.23638093,0.22786367,0.29604372,0.25044662,0.32100913,0.13568625,0.3375454,0.15779614,0.25532308,0.261227,0.36661863,0.17611147,0.24895757,0.33609098,0.35929638,0.26955187,0.081210494,0.41907817,0.26928443,0.22681989,0.23272872,0.2383056,0.18300714,0.19915286,0.51560265,0.16140047,0.29937232,0.15406089,0.13947058,0.21728763,0.24601838,0.4383682,0.285819,0.2661932,0.25385916,0.19633578,0.15864295,0.2605837,0.15337053,0.28844005,0.22970818,0.2422255,0.25836784,0.20700605,0.18032286,0.27744246,0.23554705,0.3878246,0.2958991,0.1401597,0.1950143,0.2232269,0.3295151,0.08256118,0.12214089,0.40632063,0.3030048,0.34155148,0.22867346,0.46021885,0.2774784,0.43504843,0.28606302,0.13522458,0.2821109,0.36108464,0.18548542,0.18707198,0.4484183,0.31215665,0.37089688,0.25177488,0.3783481,0.2899999,0.2837724,0.37574726,0.3142743,0.16922781,0.17423308,0.18034041,0.22602251
8,0.38141984,0.19144586,0.34899673,0.19524103,0.34624022,0.31570655,0.34989873,0.19752511,0.0,0.5421593,0.69946253,0.28456223,0.42453805,0.7023175,0.39822996,0.41582698,0.3805912,0.40166098,0.0822816,0.32473576,0.29098892,0.41250575,0.4327734,0.43895575,0.52896976,0.41123977,0.35433266,0.3932567,0.29457968,0.43320096,0.33310503,0.3308308,0.47994077,0.36284128,0.2847621,0.38713646,0.50441694,0.3511685,0.41566694,0.29816854,0.34163842,0.22978348,0.29459858,0.48188186,0.3746476,0.3882063,0.3887474,0.2885872,0.14230952,0.09947902,0.44448227,0.28316796,0.3146777,0.2857886,0.41793394,0.5081688,0.46488392,0.30695546,0.4247682,0.3038857,0.35421318,0.3181415,0.44734624,0.26710898,0.34786317,0.3209738,0.5085567,0.7794592,0.5045754,0.34191996,0.22490102,0.4354819,0.2940991,0.28709376,0.37049645,0.3946968,0.2993902,0.2823757,0.37087682,0.33018044,0.3195957,0.38831785,0.3584392,0.3193469,0.32459745,0.67464745,0.31245953,0.30549467,0.4669592,0.3402618,0.3645358,0.3134477,0.39282393,0.31206232,0.4268499,0.31910843,0.31706774,0.32360476,0.20097308,0.20628038,0.57730865,0.4020549,0.44140762,0.4049198,0.2441487,0.31776875,0.26111072,0.48667008,0.33152914,0.27944413,0.37638867,0.28948474,0.22456655,0.46544403,0.36514378,0.33679384,0.31194395,0.35862046,0.42529535,0.25508997,0.40027308,0.29389912,0.7147995,0.13754663,0.36424035,0.27825707,0.2560489,0.29793712,0.35662687,0.3897807,0.471972,0.28345734,0.3918833,0.3275333,0.43801123,0.43336993,0.21221593,0.2612692,0.40385732,0.3487605,0.5217282,0.46390125,0.26400614,0.2874998,0.42542443,0.370569,0.42032078,0.4367398,0.40153313,0.4305684,0.33535224,0.48508638,0.38527673,0.3685038,0.4046734,0.37348318,0.26124924,0.4141796,0.42746484,0.5383849,0.66480994,0.39574897,0.30287868,0.10343036,0.48394704,0.582155,0.38108563,0.34702915,0.39256144,0.4415298,0.3236074,0.41079068,0.3532136,0.48665142,0.3085069,0.42630583,0.44981033,0.2434573,0.3144759,0.39200526,0.33799326,0.36033368,0.40762848,0.3756944,0.32693037,0.42125672,0.46663716,0.3130895,0.16955811,0.26896858,0.3862255,0.39215952,0.39333954,0.3251602,0.27227998,0.33010364,0.075258866,0.46961075,0.45580104,0.3713446
9,0.30575547,0.043429837,0.29891896,0.2337528,0.23724934,0.24064997,0.23242761,0.18242744,0.5421593,0.0,0.4885543,0.25744492,0.40597787,0.43767887,0.3435794,0.4666782,0.39162952,0.39874431,0.04450349,0.20930281,0.24520263,0.3681813,0.45066106,0.4246521,0.39505118,0.25487614,0.29408288,0.42325574,0.31070238,0.37793955,0.28251296,0.33973613,0.29824314,0.23526698,0.24767086,0.3368841,0.38821954,0.31253862,0.2999142,0.27304682,0.26397437,0.23470004,0.15806325,0.3413326,0.31254733,0.20440218,0.291036,0.36292517,0.09463841,0.14582416,0.52032083,0.23878616,0.23106773,0.29079944,0.3444029,0.5785867,0.45831275,0.29300404,0.3710065,0.2764483,0.32539827,0.3263671,0.3345058,0.23556602,0.28671634,0.25726333,0.35467225,0.50866604,0.50590444,0.29594108,0.20799768,0.38638794,0.2479904,0.3803004,0.3025294,0.30882996,0.25798428,0.19878489,0.31486645,0.24884036,0.2931797,0.4266651,0.26206467,0.25614536,0.17598492,0.5074136,0.24436392,0.21965683,0.33217695,0.2604007,0.35843503,0.242284,0.4405071,0.21723685,0.47877398,0.26782668,0.22574252,0.21185628,0.15001696,0.23405561,0.69535035,0.27012396,0.36343494,0.28479823,0.19012243,0.21930952,0.18384914,0.6996165,0.25286382,0.2397296,0.46094292,0.24945271,0.2953679,0.45859653,0.362543,0.21904182,0.26789325,0.31835556,0.38561723,0.29700437,0.41694063,0.26401496,0.570319,0.13542867,0.3517004,0.23920327,0.2472987,0.2425546,0.38817236,0.28936222,0.43866742,0.24497245,0.18140638,0.3217265,0.39604044,0.32509077,0.28945738,0.23232496,0.3366011,0.257377,0.53461856,0.5988653,0.22496141,0.25982806,0.33966252,0.34476405,0.5013734,0.5100173,0.3465342,0.42523086,0.23964033,0.39314443,0.431284,0.29404104,0.38051322,0.3447286,0.22025493,0.30133194,0.38442087,0.6110803,0.45886415,0.4321175,0.26368272,0.068192706,0.57956076,0.34737262,0.29085732,0.31473064,0.3653036,0.6754104,0.30437607,0.3514346,0.3891353,0.7025908,0.23129612,0.23131627,0.37649274,0.16978519,0.34214807,0.33271533,0.2904699,0.26363048,0.46037066,0.22758538,0.24500136,0.38052946,0.7105237,0.29711136,0.14204304,0.18683523,0.229014,0.3421142,0.3987287,0.3638683,0.17476064,0.2803154,0.09244268,0.41051757,0.37717998,0.3337309
