,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.0,0.25840598,0.34031522,0.23358846,0.2804324,0.374654,0.33333158,0.16562194,0.3721519,0.25754344,0.31129155,0.2369732,0.39677596,0.4079104,0.32821742,0.30177101,0.23248011,0.327838,0.2930113,0.2819177,0.41382703,0.3141485,0.4403842,0.41942468,0.17411888,0.52004725,0.3415903,0.20739746,0.16773674,0.43829545,0.24936968,0.29730952,0.38098162,0.5585027,0.12865755,0.33255994,0.35279477,0.4224119,0.3903981,0.3771134,0.35646415,0.40180737,0.23870957,0.32874656,0.397033,0.40888268,0.54736865,0.34798658,0.37250876,0.26674083,0.44976908,0.3723421,0.58222353,0.32955942,0.24555938,0.35142684,0.4390986,0.2497158,0.47447938,0.4089085,0.36375916,0.29434294,0.35509557,0.36213407,0.4559967,0.39235348,0.47725424,0.4328069,0.27329716,0.29122567,0.15110448,0.45692962,0.2907663,0.36237282,0.44110078,0.3591981,0.25422937,0.34297293,0.115117475,0.40604717,0.24688287,0.42395803,0.34827125,0.47813755,0.11616064,0.43179533,0.31754267,0.3396424,0.4917677,0.38140225,0.433925,0.31067845,0.4509185,0.26929697,0.43342274,0.26655087,0.24629518,0.13009667,0.10748536,0.13017058
1,0.25840598,1.0,0.39918524,0.27220416,0.25978035,0.5221117,0.16888614,0.43625778,0.13941643,0.24595277,0.2826207,0.3341899,0.3901658,0.5278624,0.1492033,0.39673275,0.26777616,0.49418417,0.22254585,0.38748288,0.21486226,0.23633778,0.33749357,0.35745203,0.124237254,0.2636675,0.21855038,0.34133816,0.22152716,0.2997681,0.21043977,0.2234866,0.47278857,0.44268528,0.121829346,0.13901451,0.4151485,0.35101593,0.29043782,0.3807966,0.12118113,0.10021372,0.40724576,0.41272247,0.30084002,0.56170183,0.405181,0.44263083,0.22647789,0.3219762,0.24767911,0.4552728,0.3056296,0.25479752,0.23396888,0.2523943,0.310416,0.41638595,0.44586003,0.48532695,0.1493034,0.3837632,0.2302782,0.5131247,0.2690674,0.48005885,0.4446956,0.5499165,0.40974852,0.31190884,0.116392255,0.33178902,0.50693524,0.3412906,0.31823295,0.38969937,0.3126887,0.3141477,0.35220712,0.4770426,0.31593928,0.26423308,0.19772789,0.43548912,0.20236449,0.3360939,0.44145903,0.31261224,0.3742916,0.4645276,0.38930976,0.5497432,0.30568904,0.20504025,0.23481578,0.32812726,0.4544434,0.33733994,0.32546026,0.097613685
2,0.34031522,0.39918524,0.9999998,0.22215497,0.26546252,0.39364398,0.4370652,0.34760308,0.34155,0.3437223,0.27804464,0.36892006,0.5326859,0.2949414,0.37573582,0.3578093,0.31813812,0.29891735,0.2369386,0.35229534,0.38953125,0.3685441,0.50960255,0.5996437,0.38946763,0.34353447,0.10587181,0.24968013,0.33847773,0.26763946,0.39477545,0.44442225,0.4280461,0.52979743,0.27045652,0.38135457,0.4474805,0.33404553,0.24871817,0.4073543,0.29003984,0.3126814,0.29727548,0.48684728,0.28357133,0.37391013,0.3741625,0.51617295,0.3890477,0.23306632,0.3107169,0.38460302,0.51290464,0.31144577,0.19377363,0.44336015,0.37804,0.30195165,0.44938532,0.4307881,0.39697424,0.4252748,0.35213175,0.3840309,0.45778024,0.28359258,0.51983553,0.42070675,0.3751232,0.36643612,0.122516036,0.39292204,0.28851825,0.3906418,0.34045,0.4728365,0.44361833,0.39236796,0.20341139,0.38911003,0.43519658,0.38967752,0.23355609,0.52862155,0.21311015,0.39426437,0.25225386,0.28164938,0.48035073,0.38688332,0.31638038,0.36215198,0.39133063,0.2504356,0.3218726,0.53254277,0.28907782,0.28050953,0.31829497,0.40372968
3,0.23358846,0.27220416,0.22215497,0.9999999,0.44497138,0.33382338,-0.0139273945,0.28021803,0.33497882,0.3617228,0.41067475,0.1599645,0.16094247,0.48726362,0.0024331864,0.2489143,0.14199916,0.30639294,0.17313962,0.1922564,0.11891112,0.22970644,0.10839352,0.08909525,0.037263453,0.16978227,0.28649765,0.10981032,0.06782654,0.5033923,0.145726,0.33111125,0.24792735,0.25385565,0.16237494,-0.0035035256,0.25967705,0.17997837,0.38179606,0.3314833,0.030520065,0.08277543,0.21879768,0.020601612,0.1820193,0.21036077,0.2899855,0.4161443,0.28011912,0.28935477,0.14256439,0.18911353,0.30259615,0.15165094,0.3360591,0.14518006,0.23783058,0.36313492,0.36383095,0.2829125,0.0029373043,0.24976496,0.25374967,0.25122333,0.14884043,0.44124508,0.32183474,0.5121165,0.22209418,0.21162894,0.18969752,0.32904834,0.21561337,0.3985128,0.3600756,0.23429334,0.2565596,0.28184342,0.12489991,0.33733758,0.20924683,0.23463699,0.1695227,0.27575648,-0.036285155,0.29282808,0.1825394,0.26827633,0.27843618,0.28754172,0.24693432,0.3400538,0.20593867,0.029020455,0.13376608,0.25285643,0.29339692,0.11785156,0.1789099,0.026278008
4,0.2804324,0.25978035,0.26546252,0.44497138,1.0000002,0.49522954,0.23527963,0.4082583,0.4368626,0.25211778,0.6061366,0.22303206,0.31247997,0.59378594,0.16795182,0.3629468,0.10081443,0.4195847,0.16280383,0.25943193,0.26051098,0.27381027,0.26717752,0.19024757,0.20211384,0.4463523,0.23457243,0.30474395,0.1415821,0.36705273,0.22090307,0.26726425,0.33396173,0.44731537,0.35173556,0.1714727,0.2985134,0.22589701,0.21158974,0.20898423,0.20832402,0.1679821,0.21600214,0.28645027,0.39272586,0.38313723,0.34629956,0.43462518,0.28875086,0.36506456,0.21581721,0.2615488,0.43344873,0.33273628,0.6412226,0.27617365,0.26495662,0.39819807,0.56258816,0.4344334,0.18158877,0.29434383,0.38435894,0.42673585,0.2236955,0.23504801,0.37181646,0.533106,0.19169435,0.31935018,0.3407441,0.44697934,0.27629608,0.4870251,0.38351905,0.34057757,0.3746376,0.16083415,0.19561464,0.4291185,0.3215472,0.34362575,0.3274794,0.32320136,0.07565927,0.47070235,0.25773203,0.31465358,0.30384347,0.28934136,0.4270434,0.43415093,0.30963305,0.17015828,0.2056838,0.360605,0.47301155,0.23371196,0.29017818,0.21834633
5,0.374654,0.5221117,0.39364398,0.33382338,0.49522954,1.0000001,0.25580966,0.5467237,0.34792382,0.3937367,0.41236663,0.38008118,0.53342766,0.5860379,0.17592335,0.54344165,0.17739806,0.6032829,0.28893334,0.51328707,0.42791024,0.29256755,0.4560479,0.41326493,0.22027597,0.41710985,0.34438688,0.5140119,0.1700786,0.4511094,0.32523814,0.33225465,0.3516909,0.51324147,0.28356087,0.16598976,0.51857543,0.28793818,0.41153866,0.51565844,0.17560346,0.1590544,0.48615354,0.40181965,0.5560623,0.5362623,0.6001326,0.58338857,0.26282167,0.47938982,0.5237503,0.4412911,0.37560248,0.517988,0.44502068,0.45088643,0.36008638,0.4810562,0.63972735,0.57003003,0.19056228,0.39251044,0.3442757,0.6562106,0.43296006,0.422913,0.52925926,0.6313914,0.38742504,0.44473243,0.3076515,0.37903768,0.56545895,0.44871983,0.46397617,0.49276567,0.43008095,0.32600367,0.2762758,0.5956001,0.5199616,0.4488348,0.29937783,0.49197328,0.21262294,0.6167756,0.5183937,0.4216487,0.47705245,0.49567315,0.59616756,0.60777843,0.45909435,0.33698893,0.5008431,0.4771428,0.6267703,0.44408906,0.4080886,0.20505151
6,0.33333158,0.16888614,0.4370652,-0.0139273945,0.23527963,0.25580966,1.0000002,0.08845524,0.18206754,0.25904554,0.24550274,0.20580478,0.6623564,0.19636613,0.7461193,0.2412217,0.26477244,0.20580114,0.13533925,0.20960684,0.34696198,0.3856219,0.63668525,0.61491966,0.17335579,0.4414122,0.19429107,0.24575138,0.27902386,0.22003144,0.4001499,0.4040193,0.4162695,0.50935423,0.1931782,0.74739146,0.3103835,0.2146084,0.14992845,0.16407883,0.57217216,0.3965345,0.2132991,0.5729834,0.29707474,0.44927105,0.14279242,0.389588,0.22820045,0.14517367,0.21250588,0.4140156,0.4242933,0.15289342,0.20977598,0.40155056,0.22767848,0.13648193,0.21851473,0.26644707,0.75928223,0.31486762,0.33352172,0.19395974,0.28854436,0.15906048,0.46835423,0.16460407,0.2171765,0.22437726,0.074677005,0.3000269,0.15910968,0.3460676,0.26834613,0.28882128,0.4695273,0.31799966,0.10612886,0.16628537,0.19680281,0.40204751,0.3002423,0.37745798,0.27077773,0.36119217,0.19386664,0.3356797,0.35420287,0.20436186,0.25778145,0.3334307,0.45459235,0.12079663,0.22661106,0.27717775,0.24087134,0.12037356,0.27025276,0.32509845
7,0.16562194,0.43625778,0.34760308,0.28021803,0.4082583,0.5467237,0.08845524,0.9999999,0.19743401,0.28733003,0.30334827,0.34384823,0.35828465,0.4526438,0.09542607,0.4458797,0.1879772,0.4239698,0.33981067,0.38097572,0.24824002,0.30188712,0.33395827,0.32318455,0.16958532,0.16171937,0.17134388,0.5381526,0.17634523,0.22592574,0.14059447,0.2601167,0.34345442,0.3995646,0.31574994,0.09053165,0.41368437,0.24967887,0.13259947,0.32761782,0.15589398,0.07643079,0.409796,0.322648,0.3437663,0.44323784,0.37600994,0.47390687,0.27369982,0.3863076,0.29369146,0.34760752,0.2955013,0.35129708,0.45452,0.32987496,0.28532082,0.4486618,0.5860067,0.4451438,0.08690111,0.30393398,0.2534285,0.5332607,0.25680253,0.37859923,0.3508384,0.5385261,0.2541218,0.4056337,0.26865467,0.32996964,0.4978789,0.4082539,0.32479483,0.44404343,0.34449524,0.17900893,0.27301526,0.41877294,0.49027625,0.23235387,0.2358869,0.3483742,0.22786745,0.47222784,0.40017074,0.2460587,0.33835828,0.38541088,0.26339364,0.47995746,0.2125141,0.29982796,0.3103699,0.28688693,0.49398634,0.26784548,0.28540277,0.18926392
8,0.3721519,0.13941643,0.34155,0.33497882,0.4368626,0.34792382,0.18206754,0.19743401,1.0000004,0.44208655,0.38635105,0.16720557,0.21599987,0.39307126,0.15768963,0.34467903,0.21155237,0.36962333,0.19327086,0.4318645,0.2834406,0.27521867,0.27052867,0.21738245,0.18563634,0.5027289,0.20821351,0.1493966,0.31931484,0.33978188,0.22941706,0.27543432,0.29233944,0.44289863,0.32136834,0.16151762,0.22686732,0.22743052,0.37674046,0.2823258,0.21518849,0.33556828,0.1931552,0.18816519,0.49100554,0.2890616,0.29026446,0.41802412,0.42973748,0.19320956,0.25157496,0.1446653,0.38972938,0.47623962,0.38854083,0.34787798,0.30382365,0.24828407,0.348172,0.31799746,0.19258425,0.2890668,0.38621438,0.42325324,0.33523577,0.25178942,0.3318596,0.3974187,0.2661957,0.305336,0.10525207,0.35284644,0.1335729,0.38294572,0.40256622,0.49880546,0.34597903,0.29592037,0.17386211,0.38393116,0.28827375,0.30984843,0.35432887,0.29018226,0.04943085,0.35935408,0.10968001,0.33446246,0.34345222,0.32055354,0.44170627,0.26891255,0.40813047,0.051693764,0.24844138,0.34945804,0.21242474,0.23069213,0.16024184,0.20717129
9,0.25754344,0.24595277,0.3437223,0.3617228,0.25211778,0.3937367,0.25904554,0.28733003,0.44208655,1.0000002,0.23212492,0.2807211,0.42062068,0.32567963,0.18907914,0.35523427,0.22370562,0.34791368,0.12512831,0.4262811,0.31271935,0.3158486,0.31369781,0.3028711,0.20372838,0.32444417,0.19656335,0.28028858,0.14097758,0.45912957,0.19880813,0.32682094,0.3004001,0.30209747,0.22668715,0.173012,0.2860102,0.24897727,0.4348086,0.41590297,0.31370905,0.20724499,0.3778854,0.21613961,0.37779987,0.37792185,0.2850541,0.41957378,0.27350697,0.18997295,0.24193865,0.3193375,0.2519324,0.30030566,0.23145276,0.3248734,0.28687653,0.34744236,0.26827943,0.22972001,0.18562126,0.24852619,0.30853698,0.3319189,0.2640175,0.37062633,0.40960616,0.36573148,0.53329647,0.22831586,0.05733437,0.23975766,0.21981636,0.34078157,0.30315888,0.334275,0.34399432,0.38159025,0.2790467,0.305181,0.2906351,0.34175453,0.3072048,0.2889734,0.19979632,0.35791987,0.23021184,0.37878695,0.3428253,0.32583058,0.39244294,0.3429973,0.3132187,0.11915621,0.25360125,0.2900079,0.21511886,0.2835141,0.29595822,0.26197445
